,Low,High,Close,perc_from_high
INTU,361.0,694.6599731445312,550.7899780273438,-20.71085144951253
TRMB,65.91000366210938,95.72000122070312,75.91999816894531,-20.6853351433883
SBUX,96.80999755859375,126.05999755859375,100.12000274658203,-20.577499059489185
AES,22.829999923706055,28.90999984741211,23.059999465942383,-20.235214155469432
ABMD,262.7099914550781,376.20001220703125,301.2200012207031,-19.93089009924459
GLW,34.91999816894531,46.25,37.09000015258789,-19.80540507548564
VFC,66.05000305175781,90.05000305175781,72.25,-19.766798943390317
MDT,99.52999877929688,135.1699981689453,108.55000305175781,-19.69371567492062
LW,50.2400016784668,85.80000305175781,68.93000030517578,-19.662007163805583
LUMN,9.720000267028809,15.359999656677246,12.34000015258789,-19.661455544216185
WST,257.2900085449219,471.3399963378906,379.7799987792969,-19.425467448121445
A,114.98999786376953,179.27999877929688,144.67999267578125,-19.29942343769762
NVDA,115.93250274658203,333.760009765625,269.4200134277344,-19.2773233626976
XYL,95.12000274658203,138.02999877929688,111.54000091552734,-19.191478735086946
IP,44.27083206176758,61.22159194946289,49.5,-19.146173067728807
FDX,217.8699951171875,315.5899963378906,256.2200012207031,-18.812381826457585
VTRS,12.09000015258789,18.739999771118164,15.220000267028809,-18.783348703740817
NWL,20.56999969482422,29.34000015258789,23.850000381469727,-18.711655564302806
INTC,47.88999938964844,68.26000213623047,55.70000076293945,-18.400235833899167
PNW,63.36000061035156,88.12000274658203,72.2699966430664,-17.986842498288972
NWSA,17.969999313354492,27.639999389648438,22.719999313354492,-17.800290104697154
RL,100.80999755859375,139.63999938964844,114.83999633789062,-17.75995643093382
DGX,114.62999725341797,173.00999450683594,142.3000030517578,-17.750414675531776
NEM,53.27000045776367,74.37999725341797,61.220001220703125,-17.6929235260359
PNR,51.529998779296875,80.30000305175781,66.11000061035156,-17.67123524548312
ALB,140.69000244140625,283.79998779296875,233.6699981689453,-17.663844883810604
AMT,198.66000366210938,303.6199951171875,250.6199951171875,-17.456030845249078
TGT,169.82000732421875,266.3900146484375,221.39999389648438,-16.888778962427605
HUM,363.1700134277344,471.2200012207031,391.6600036621094,-16.88383289174744
HOLX,60.52000045776367,83.72000122070312,69.58999633789062,-16.877693116084536
FLT,200.8300018310547,293.44000244140625,244.0,-16.848419448632733
UHS,116.38999938964844,160.6199951171875,133.6699981689453,-16.7787310219874
T,22.170000076293945,32.630001068115234,27.18000030517578,-16.702422876305025
PVH,82.44999694824219,123.26000213623047,102.69999694824219,-16.680192139916382
URI,229.64999389648438,392.7900085449219,327.82000732421875,-16.540645079385403
ZTS,144.0,247.02999877929688,206.17999267578125,-16.536455614855143
LDOS,84.44000244140625,112.69999694824219,94.06999969482422,-16.530610255450007
NKE,127.11000061035156,177.50999450683594,148.17999267578125,-16.523014330849513
CMCSA,47.709999084472656,61.75,51.68000030517578,-16.307691813480517
C,57.9900016784668,79.86000061035156,66.93000030517578,-16.19083421782466
DPZ,330.239990234375,564.3300170898438,473.0400085449219,-16.176706143630156
SBAC,235.9199981689453,389.0199890136719,326.2699890136719,-16.13027653388646
BA,188.19000244140625,269.19000244140625,225.9600067138672,-16.059287245241883
CLX,158.99000549316406,222.17999267578125,186.60000610351562,-16.014037152384887
EFX,161.8800048828125,297.04998779296875,249.5,-16.007402708970677
ALLE,107.01000213623047,148.1300048828125,124.45999908447266,-15.979210840548802
IT,151.5800018310547,339.69000244140625,286.010009765625,-15.80264131707574
ISRG,228.3000030517578,365.4200134277344,307.739990234375,-15.78458241854512
CDNS,119.68000030517578,191.64999389648438,161.75,-15.601353951847353
AMD,73.08999633789062,161.91000366210938,136.8800048828125,-15.45920462798091
EQIX,594.9199829101562,882.8300170898438,746.760009765625,-15.412933938603404
ORCL,60.36000061035156,103.6500015258789,87.69000244140625,-15.397972840828015
ANSS,293.54998779296875,411.2200012207031,348.5400085449219,-15.24244747087112
RMD,179.4600067138672,297.3599853515625,252.16000366210938,-15.200425045762
WTW,199.22999572753906,270.07000732421875,229.1199951171875,-15.162739695811837
IRM,28.0,52.77000045776367,44.77000045776367,-15.160128729585823
IVZ,16.950000762939453,29.329999923706055,24.889999389648438,-15.138085733402864
CAH,45.869998931884766,62.459999084472656,53.09000015258789,-15.001599534467678
FTNT,138.11000061035156,367.6700134277344,312.5400085449219,-14.994425128349043
ACN,241.9199981689453,415.4200134277344,353.3599853515625,-14.939104056181375
TAP,43.380001068115234,60.7400016784668,51.689998626708984,-14.899576558566624
XLNX,112.08999633789062,233.0800018310547,198.4499969482422,-14.857561614365206
AON,202.1300048828125,321.0799865722656,273.45001220703125,-14.834301842888072
TSLA,563.0,1229.9100341796875,1049.6099853515625,-14.659612802360755
KHC,31.989999771118164,44.52000045776367,38.02000045776367,-14.60017954439731
POOL,314.42999267578125,577.8499755859375,494.1000061035156,-14.493375966227177
V,190.16000366210938,250.92999267578125,214.6699981689453,-14.450243320927497
DOW,51.900001525878906,70.91000366210938,60.7400016784668,-14.342125875642706
APTV,127.95999908447266,178.1199951171875,152.60000610351562,-14.327413941866512
WHR,176.89999389648438,252.9499969482422,217.02000427246094,-14.204385494866454
ZBRA,378.1300048828125,614.5499877929688,528.0,-14.083474007345673
CPRT,103.98999786376953,159.10000610351562,136.7100067138672,-14.072909195918431
CMI,206.99000549316406,275.989990234375,237.5399932861328,-13.931663577939856
SNA,166.72000122070312,255.63999938964844,220.1300048828125,-13.890625329219835
VRSK,161.64999389648438,230.02999877929688,198.14999389648438,-13.859064057727483
MMM,165.1999969482422,207.3300018310547,178.74000549316406,-13.78960887734305
FISV,95.55000305175781,126.55000305175781,109.11000061035156,-13.78111578098773
WDC,49.470001220703125,77.16999816894531,66.63999938964844,-13.645197653424784
OGN,28.450000762939453,38.0,32.86000061035156,-13.526314183285363
FRC,144.99000549316406,221.91000366210938,192.05999755859375,-13.451401744360588
EL,235.85000610351562,371.8599853515625,322.04998779296875,-13.394825880903149
AWK,132.1300048828125,188.86000061035156,163.57000732421875,-13.390867946839691
CTAS,318.1199951171875,458.45001220703125,397.45001220703125,-13.305703648329937
BR,139.1699981689453,184.47999572753906,160.05999755859375,-13.237206599360253
RCL,64.2699966430664,96.9800033569336,84.1500015258789,-13.229533292377852
SNPS,218.49000549316406,375.5899963378906,326.1600036621094,-13.160625458009465
FB,245.63999938964844,382.17999267578125,331.8999938964844,-13.156104386121392
ODFL,190.69000244140625,364.0,316.1199951171875,-13.153847495278159
AMZN,2951.949951171875,3731.409912109375,3242.760009765625,-13.095583542241144
MCO,263.0400085449219,406.69000244140625,353.54998779296875,-13.06646692306965
DVA,94.5,133.77999877929688,116.31999969482422,-13.051277652705942
TYL,379.55999755859375,552.1400146484375,480.5199890136719,-12.971352145228604
TT,138.8300018310547,206.55999755859375,180.0,-12.85824838909558
LYB,84.55000305175781,117.86000061035156,102.80999755859375,-12.76938993196983
SWK,169.35000610351562,220.69000244140625,192.64999389648438,-12.705608878846503
BLK,683.2100219726562,971.489990234375,848.5999755859375,-12.649642907673181
FDS,294.3500061035156,488.8500061035156,427.1099853515625,-12.62964508153846
PWR,68.25,121.9800033569336,106.63999938964844,-12.575835009938292
NDAQ,131.97000122070312,212.8300018310547,186.13999938964844,-12.540526341109032
CBOE,88.0,135.07000732421875,118.16000366210938,-12.519436399761952
LLY,164.32000732421875,279.0400085449219,244.1199951171875,-12.514339291282203
IQV,173.0,282.6099853515625,247.33999633789062,-12.48009300513446
EA,120.2300033569336,148.97000122070312,130.44000244140625,-12.438745134897445
SHW,219.85333251953125,352.1600036621094,308.4599914550781,-12.409135549919108
CARR,35.52000045776367,58.31999969482422,51.099998474121094,-12.379974723051799
VTR,45.689998626708984,60.400001525878906,52.93000030517578,-12.367551377465674
NUE,48.72999954223633,126.16999816894531,110.81999969482422,-12.166124036529665
LH,203.5500030517578,314.2099914550781,276.0799865722656,-12.135198090371311
CPB,39.90999984741211,52.709999084472656,46.380001068115234,-12.00910287669141
DLR,125.66000366210938,176.8699951171875,155.8800048828125,-11.867468091729075
CCI,146.77000427246094,208.74000549316406,184.14999389648438,-11.780210285318296
DHR,212.3800048828125,332.42999267578125,293.30999755859375,-11.767889775018347
MGM,28.360000610351562,50.369998931884766,44.470001220703125,-11.7133171258554
ANET,66.9574966430664,146.83999633789062,129.74000549316406,-11.645322303998231
NWS,17.770000457763672,25.950000762939453,22.940000534057617,-11.599229828079904
AVGO,421.25,674.280029296875,596.3699951171875,-11.554551639462085
