,Ticker,years,returns,bagger
164,ESS,21.958904109589042,11.139204940872926,10.16705860882353
165,ETN,21.958904109589042,18.784007016803805,43.813013770281124
166,ETR,21.958904109589042,6.7202273981188165,4.171262279611651
167,ETSY,6.657534246575342,35.36935884650734,7.5093332933333325
168,EVRG,21.958904109589042,6.458199309118684,3.9520606628324697
169,EW,21.720547945205478,31.032644244714724,354.44362559999996
170,EXC,21.958904109589042,8.668242865099995,6.205467608633094
171,EXPD,21.958904109589042,19.26086822491868,47.8422411144265
172,EXPE,16.4027397260274,8.322132052871712,3.7107114674564188
173,EXR,17.328767123287673,17.640028453019553,16.696800536
174,F,21.958904109589042,-1.8880408832264717,0.6579956871326045
175,FANG,9.167123287671233,22.347301629795634,6.353142874285714
176,FAST,21.958904109589042,35.02135169123521,730.2892795175356
177,FB,9.56986301369863,25.2512214951113,8.62501894522357
178,FBHS,10.241095890410959,22.985128682204127,8.321259990633024
179,FCX,21.958904109589042,9.451375132634631,7.265325241183432
180,FDX,21.958904109589042,8.514840281932434,6.01592653339929
181,FE,21.958904109589042,2.571326372759941,1.7462975758771309
182,FFIV,21.958904109589042,9.964527273800684,8.051228305263159
183,FIS,20.487671232876714,10.579938597437089,7.849221517214409
184,FISV,21.958904109589042,23.15972794283303,96.96030363482483
185,FITB,21.958904109589042,1.3481456172030448,1.3418647448031493
186,FLT,10.994520547945205,21.06039552206922,8.176513673394496
187,FMC,21.958904109589042,21.05019134172641,66.34848725763956
188,FOX,2.747945205479452,-4.803813201882024,0.8734694136776338
189,FOXA,2.750684931506849,-1.140254257221951,0.968947360263158
190,FRC,11.01095890410959,20.041722428389864,7.4734958131131926
191,FRT,21.958904109589042,9.213654951950655,6.926593284972103
192,FTNT,12.068493150684931,43.78568832588623,80.05535212716633
193,FTV,5.493150684931507,8.943441207937353,1.6008520222226297
194,GD,21.958904109589042,13.30729084225528,15.539715086255924
195,GE,21.958904109589042,-1.4031852972850811,0.7332223154680592
196,GILD,21.958904109589042,38.75354552838903,1328.9979709009142
197,GIS,21.958904109589042,9.438013788419997,7.245874365314685
198,GL,21.958904109589042,13.46175239991403,16.01159598501721
199,GLW,21.958904109589042,4.493376239653557,2.625235617248628
200,GM,11.068493150684931,5.70907888620662,1.8487862419665737
201,GNRC,11.835616438356164,32.16051699574112,27.121494247023044
202,GOOG,7.712328767123288,24.258219464318852,5.339079456235052
203,GOOGL,17.32054794520548,26.536820902619617,58.94582466548007
204,GPC,21.958904109589042,8.013117441364237,5.433845293480765
205,GPN,20.912328767123288,26.39918045772065,134.18666997333332
206,GPS,21.958904109589042,-4.4447473339837895,0.3684782773913044
207,GRMN,21.019178082191782,17.27123690778516,28.467451105882354
208,GS,21.958904109589042,6.697628260783239,4.151908766533348
209,GWW,21.958904109589042,11.418583961640882,10.74331219125958
210,HAL,21.958904109589042,4.024030972337966,2.3781366767701866
211,HAS,21.958904109589042,7.912422066667291,5.323687883482719
212,HBAN,21.958904109589042,-1.5886574390253538,0.7035245573039376
213,HBI,15.271232876712329,18.466748957367685,13.301751762166171
214,HCA,10.761643835616438,21.104629937969243,7.851386185956233
215,HD,21.958904109589042,10.55907349419487,9.063272594181818
216,HES,21.958904109589042,12.211696503838176,12.554009813535838
217,HIG,21.958904109589042,1.6696814944336058,1.4385224597361477
218,HII,10.728767123287671,16.098944672707848,4.9605226157994675
219,HLT,8.0,0.8687979004379898,1.0716544245736597
220,HOLX,21.958904109589042,27.5157142103335,208.0
221,HON,21.958904109589042,6.29399468054328,3.8203454311658067
222,HPE,6.147945205479452,7.843319514448854,1.5907835374558765
223,HPQ,21.958904109589042,6.026293628005597,3.6145510778102072
224,HRL,21.958904109589042,21.537352419043955,72.46590951610254
225,HSIC,21.958904109589042,24.17028190662094,116.01788303443622
226,HST,21.958904109589042,3.345941787020923,2.0600036975817124
227,HSY,21.958904109589042,13.369003282998415,15.726632286425588
228,HUM,21.958904109589042,20.15069710819799,56.325112101783816
229,HWM,5.142465753424657,9.152726536593825,1.5688866540157125
230,IBM,21.958904109589042,0.6397467927752754,1.1503128278099652
231,ICE,16.076712328767123,31.957193251823803,86.33120696833944
232,IDXX,21.958904109589042,33.850724977796595,603.1876211100775
233,IEX,21.958904109589042,18.208600423406708,39.381665549999994
234,IFF,21.958904109589042,6.406544531551184,3.9101659827242528
235,ILMN,21.383561643835616,18.581383818652775,38.25927122539337
236,INCY,21.958904109589042,6.935515619667076,4.360000102
237,INFO,16.09041095890411,31.59024616500874,82.86255469342117
238,INTC,21.958904109589042,4.181376953544302,2.4583909568825124
239,INTU,21.958904109589042,18.957917694150606,45.24341922433443
240,IP,21.958904109589042,-0.8735654315217278,0.8247556096060862
241,IPG,21.958904109589042,-1.997417865482476,0.6420746271904061
242,IPGP,15.002739726027396,13.229994213478392,6.4501544867901766
243,IQV,8.594520547945205,24.152191743683595,6.419377900360471
244,IR,4.583561643835616,25.421300960539472,2.824170572360909
245,IRM,21.958904109589042,13.271320112003604,15.43174562366778
246,ISRG,21.506849315068493,29.45519315819851,257.83192927402126
247,IT,21.958904109589042,14.900130137469114,21.114097718032788
248,ITW,21.958904109589042,12.90526652381281,14.372955113297795
249,IVZ,21.958904109589042,4.373209448322024,2.559734402756678
250,J,21.958904109589042,25.287370635153916,141.2332331323077
251,JBHT,21.958904109589042,28.087765372992422,229.48280791748496
252,JCI,21.958904109589042,12.779400127021901,14.025189443443606
253,JKHY,21.958904109589042,19.183096590879867,47.161816065192085
254,JNJ,21.958904109589042,9.335838777455518,7.098766991957104
255,JNPR,21.958904109589042,6.0068236300366395,3.6000037969451815
256,JPM,21.958904109589042,7.22715382409449,4.628707363746665
257,K,21.958904109589042,3.282144775763207,2.032259094496153
258,KEY,21.958904109589042,0.17876925831548096,1.0400000103954803
259,KEYS,7.145205479452055,31.680706843782012,7.145132959292035
260,KHC,6.435616438356164,-11.126886659978275,0.4680647198549827
261,KIM,21.958904109589042,8.583358896594873,6.099893582888845
262,KLAC,21.958904109589042,13.038374408793318,14.749676928286396
263,KMB,21.958904109589042,3.66949168949835,2.2063689140892775
264,KMI,10.835616438356164,-5.848945977915743,0.5204508935762537
265,KMX,21.958904109589042,28.784274052925298,258.5041038072407
266,KO,21.958904109589042,6.34991155403688,3.8647209462660945
267,KR,21.958904109589042,10.770534501139295,9.451655304900664
